No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,174900,919974000.0000001,0.1505140080517336
2,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",65100,817005000,0.1336675788101692
3,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",57000,437703000.00000006,0.07161118995348559
4,9432,JP3735400008,ＮＴＴ,"NTT,INC.",2506100,381929640,0.06248628864528314
5,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,122700,358406700.00000006,0.05863777555626058
6,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,1470700,328554380.00000006,0.053753732819353965
7,6178,JP3752900005,日本郵政,"JAPAN POST HOLDINGS CO.,LTD.",77000,183414000,0.030007778777227035
8,7936,JP3118000003,アシックス,ASICS CORPORATION,37500,178275000,0.029167003399468688
9,4661,JP3198900007,オリエンタルランド,"ORIENTAL LAND CO.,LTD.",55100,174501700,0.028549665837122786
10,9735,JP3421800008,セコム,"SECOM CO.,LTD.",17500,120435000,0.01970398572102096
11,7832,JP3778630008,バンダイナムコホールディングス,BANDAI NAMCO HOLDINGS INC.,24100,111076900.00000001,0.018172936866652327
12,4307,JP3762800005,野村総合研究所,"NOMURA RESEARCH INSTITUTE,LTD.",17200,80599200,0.013186577705199588
13,9766,JP3300200007,コナミグループ,KONAMI GROUP CORPORATION,3900,80496000,0.01316969348278576
14,4684,JP3173400007,オービック,"OBIC CO.,LTD.",16700,75567500,0.012363357337761043
15,9697,JP3218900003,カプコン,"CAPCOM CO.,LTD.",18100,71748400.00000001,0.011738526583684978
16,4689,JP3933800009,ＬＩＮＥヤフー,LY CORPORATION,140600,62820080,0.010277792662543233
17,4755,JP3967200001,楽天グループ,"RAKUTEN GROUP,INC.",74200,61853120.00000001,0.010119591425089019
18,7912,JP3493800001,大日本印刷,"DAI NIPPON PRINTING CO.,LTD.",19600,57261400,0.009368354780301983
19,7911,JP3629000005,ＴＯＰＰＡＮホールディングス,TOPPAN HOLDINGS INC.,11000,49797000,0.008147128135090968
20,6532,JP3835250006,ベイカレント,"BAYCURRENT,INC.",6900,49259100.00000001,0.00805912403396308
21,3659,JP3758190007,ネクソン,"NEXON CO.,LTD.",18900,47268900.00000001,0.007733513767994086
22,9684,JP3164630000,スクウェア・エニックス・ホールディングス,"SQUARE ENIX HOLDINGS CO.,LTD.",15000,41467500.00000001,0.006784365241719074
23,4324,JP3551520004,電通グループ,DENTSU GROUP INC.,10900,38640500.00000001,0.006321848800208498
24,4732,JP3944130008,ユー・エス・エス,"USS CO.,LTD.",17700,35709750,0.005842358152540608
25,9435,JP3783420007,光通信,"HIKARI TSUSHIN,INC.",900,35262000,0.005769103205003869
26,9602,JP3598600009,東宝,"TOHO CO.,LTD",23100,35158200.00000001,0.005752120818506241
27,3626,JP3104890003,ＴＩＳＩ,TIS INC.,9300,35154000,0.005751433669919631
28,4768,JP3188200004,大塚商会,OTSUKA CORPORATION,10300,33722200.00000001,0.005517181444608403
29,2413,JP3435750009,エムスリー,"M3,INC.",18500,32957750,0.005392112221505198
30,4704,JP3637300009,トレンドマイクロ,TREND MICRO INCORPORATED,4800,30436800,0.004979667643073614
31,4751,JP3311400000,サイバーエージェント,"CYBERAGENT,INC.",20700,30128850.000000004,0.004929284927062585
32,4676,JP3819400007,フジ・メディア・ホールディングス,"FUJI MEDIA HOLDINGS,INC.",7200,28663200.000000004,0.004689494611356898
33,9401,JP3588600001,ＴＢＳホールディングス,"TBS HOLDINGS,INC.",4400,26549600.000000004,0.004343695265486097
34,9404,JP3732200005,日本テレビホールディングス,"NIPPON TELEVISION HOLDINGS,INC.",8000,23328000.000000004,0.003816619578195516
35,2371,JP3206000006,カカクコム,"KAKAKU.COM,INC.",6100,22509000.000000004,0.0036826256038067075
36,2181,JP3547670004,パーソルホールディングス,"PERSOL HOLDINGS CO.,LTD.",85300,22502140,0.003681503261115245
37,3769,JP3385890003,ＧＭＯペイメントゲートウェイ,"GMO PAYMENT GATEWAY,INC.",2100,20750100,0.0033948575921431226
38,2331,JP3431900004,ＡＬＳＯＫ,"ALSOK CO.,LTD.",15600,18298800.000000004,0.00299380822777281
39,9468,JP3214350005,ＫＡＤＯＫＡＷＡ,KADOKAWA CORPORATION,5100,17712300,0.002897852835857014
40,7951,JP3942600002,ヤマハ,YAMAHA CORPORATION,14200,17657700.000000004,0.0028889199042310943
41,3774,JP3152820001,インターネットイニシアティブ,INTERNET INITIATIVE JAPAN INC.,5000,17515000,0.002865573212967012
42,4385,JP3921290007,メルカリ,"MERCARI,INC.",3900,16731000.000000002,0.0027373054767999474
43,7867,JP3630550006,タカラトミー,"TOMY COMPANY,LTD.",4500,16321500.000000002,0.0026703084896055433
44,4681,JP3974450003,リゾートトラスト,"RESORTTRUST,INC.",8900,15926550.000000002,0.002605691981443321
45,4716,JP3689500001,日本オラクル,ORACLE CORPORATION JAPAN,1700,15099400,0.0024703646115828773
46,7984,JP3297000006,コクヨ,"KOKUYO CO.,LTD.",16500,15011700.000000002,0.0024560162946672508
47,8056,JP3754200008,ＢＩＰＲＯＧＹ,BIPROGY INC.,3000,14604000.000000002,0.0023893137997242505
48,2433,JP3766550002,博報堂ＤＹホールディングス,HAKUHODO DY HOLDINGS INCORPORATED,11100,14457750,0.002365386304297677
49,429A,JP3545320008,テクセンドフォトマスク,TEKSCEND PHOTOMASK CORP.,3400,13379000,0.0021888954619632118
50,6544,JP3389510003,ジャパンエレベーターサービスホールディン,"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD.",7900,13374700.000000002,0.002188191952695969
51,9616,JP3253900009,共立メンテナンス,"KYORITSU MAINTENANCE CO.,LTD.",3700,12846400.000000002,0.0021017584769089026
52,9412,JP3396350005,スカパーＪＳＡＴ,SKY PERFECT JSAT CORPORATION,6100,12822200,0.002097799192195582
53,3994,JP3869960009,マネーフォワード,"MONEY FORWARD,INC.",2300,12546500.000000002,0.0020526927956888734
54,7966,JP3977200009,リンテック,LINTEC CORPORATION,2000,12400000,0.0020287243985607165
55,4733,JP3173500004,オービックビジネスコンサルタント,"OBIC BUSINESS CONSULTANTS CO.,LTD.",1500,12004500.000000002,0.00196401790665501
56,9744,JP3919200000,メイテックグループホールディングス,MEITEC GROUP HOLDINGS INC.,3500,11686500.000000002,0.0019119909422403076
57,9449,JP3152750000,ＧＭＯインターネットグループ,"GMO INTERNET GROUP,INC.",2600,11060400,0.0018095567207936248
58,7956,JP3801600002,ピジョン,PIGEON CORPORATION,5400,10910700,0.0017850647818851942
59,4680,JP3966800009,ラウンドワン,ROUND ONE CORPORATION,8900,10822400,0.0017706183008857658
60,4812,JP3551530003,電通総研,DENTSU SOKEN INC.,4000,10748000.000000002,0.001758445954494402
